,Date (Year/Month), PRIMARY DESCRIPTION,LATITUDE,LONGITUDE
21,2019-08,BATTERY,41.646958687,-87.543957902
22,2019-08,MOTOR VEHICLE THEFT,41.646994686999996,-87.54400502700001
24,2019-08,BATTERY,41.647038122,-87.615951454
67,2019-08,OTHER OFFENSE,41.648442733,-87.54586436299999
81,2019-08,THEFT,41.649379004000004,-87.54592979799999
85,2019-08,ROBBERY,41.649422909,-87.54592926299999
86,2019-08,CRIMINAL DAMAGE,41.649476701,-87.535028596
98,2019-08,BATTERY,41.649832040999996,-87.54716467200001
104,2019-08,CRIMINAL DAMAGE,41.650910321,-87.545925786
121,2019-08,BATTERY,41.651281034,-87.54716169
138,2019-08,THEFT,41.651426666999996,-87.54839302299999
158,2019-08,CRIMINAL TRESPASS,41.651431329,-87.527258234
165,2019-08,OTHER OFFENSE,41.651431329,-87.527258234
167,2019-08,OTHER OFFENSE,41.651431329,-87.527258234
168,2019-08,ASSAULT,41.651431329,-87.527258234
171,2019-08,BATTERY,41.651431329,-87.527258234
181,2019-08,BATTERY,41.651431329,-87.527258234
204,2019-08,BATTERY,41.65184294,-87.612356145
210,2019-08,BATTERY,41.651854054,-87.548687879
216,2019-08,OTHER OFFENSE,41.651860571,-87.610793516
222,2019-08,BATTERY,41.652216128,-87.618942045
237,2019-08,CRIMINAL DAMAGE,41.652371958,-87.617963338
245,2019-08,CRIMINAL DAMAGE,41.652461738,-87.61871978299999
260,2019-08,BATTERY,41.652576059,-87.610668428
278,2019-08,BATTERY,41.652779831,-87.608598734
283,2019-08,THEFT,41.652796032,-87.548383716
312,2019-08,BATTERY,41.652966346999996,-87.61778112100001
313,2019-08,OFFENSE INVOLVING CHILDREN,41.652966346999996,-87.61778112100001
315,2019-08,THEFT,41.652982656999995,-87.548385109
316,2019-08,DECEPTIVE PRACTICE,41.652987251999996,-87.53867001299999
325,2019-08,BURGLARY,41.65304291,-87.54957360200001
329,2019-08,ROBBERY,41.653050827,-87.543513949
336,2019-08,CRIMINAL DAMAGE,41.653078323,-87.60242970200001
347,2019-08,CRIMINAL DAMAGE,41.653095165,-87.54838374299999
348,2019-08,CRIMINAL DAMAGE,41.653095165,-87.54838374299999
363,2019-08,THEFT,41.653188465,-87.54838261
372,2019-08,BATTERY,41.653198076,-87.61401693200001
407,2019-08,THEFT,41.653425905,-87.60487376399999
415,2019-08,OTHER OFFENSE,41.653600988,-87.618333954
440,2019-08,BATTERY,41.653716501,-87.60742826799999
465,2019-08,BATTERY,41.653736007,-87.59540758700001
490,2019-08,MOTOR VEHICLE THEFT,41.653789719,-87.59908081
502,2019-08,BATTERY,41.653791270999996,-87.59889417299999
518,2019-08,ASSAULT,41.653793753,-87.597565855
524,2019-08,BATTERY,41.653794365,-87.59723286100001
526,2019-08,THEFT,41.653794385,-87.597664647
553,2019-08,ASSAULT,41.654129358,-87.605015866
597,2019-08,BATTERY,41.654448027,-87.606801643
620,2019-08,THEFT,41.654527499000004,-87.547147827
622,2019-08,BATTERY,41.65454047,-87.596748665
628,2019-08,CRIMINAL TRESPASS,41.654576797,-87.60590002200001
648,2019-08,MOTOR VEHICLE THEFT,41.65464538,-87.616818451
653,2019-08,CRIMINAL DAMAGE,41.654661189,-87.59674363
658,2019-08,CRIMINAL DAMAGE,41.654682838,-87.613151465
665,2019-08,WEAPONS VIOLATION,41.65470253,-87.607556248
673,2019-08,WEAPONS VIOLATION,41.654740948000004,-87.607555817
696,2019-08,CRIMINAL DAMAGE,41.654766107,-87.54472250100001
715,2019-08,DECEPTIVE PRACTICE,41.654823117,-87.59674544399999
720,2019-08,BURGLARY,41.654832271,-87.55930016399999
721,2019-08,BATTERY,41.654834273,-87.607558429
724,2019-08,WEAPONS VIOLATION,41.654851673,-87.60510286899999
744,2019-08,THEFT,41.654902697,-87.596744537
766,2019-08,ASSAULT,41.654996938000004,-87.54837528899999
767,2019-08,BATTERY,41.654998600000006,-87.602309192
773,2019-08,BATTERY,41.655005926,-87.613908994
777,2019-08,THEFT,41.655018749,-87.549560626
778,2019-08,THEFT,41.655018749,-87.549560626
785,2019-08,WEAPONS VIOLATION,41.655043856,-87.605115342
790,2019-08,THEFT,41.655052089,-87.605115249
791,2019-08,THEFT,41.655052089,-87.605115249
792,2019-08,THEFT,41.655052089,-87.605115249
806,2019-08,CRIMINAL DAMAGE,41.655131692,-87.605118011
814,2019-08,CRIMINAL TRESPASS,41.65515783,-87.602318369
832,2019-08,CRIMINAL DAMAGE,41.655222859,-87.594889293
834,2019-08,BATTERY,41.655240178,-87.60232109799999
835,2019-08,BATTERY,41.655240178,-87.60232109799999
836,2019-08,CRIMINAL TRESPASS,41.655240178,-87.60232109799999
837,2019-08,CRIMINAL TRESPASS,41.655240178,-87.60232109799999
840,2019-08,CRIMINAL DAMAGE,41.655248226,-87.61315980399999
848,2019-08,OFFENSE INVOLVING CHILDREN,41.655276697,-87.597292828
853,2019-08,ROBBERY,41.655277798,-87.597464802
867,2019-08,CRIMINAL DAMAGE,41.655332085,-87.605126732
879,2019-08,BATTERY,41.655388409000004,-87.60232674
887,2019-08,WEAPONS VIOLATION,41.655411665,-87.605125836
889,2019-08,CRIMINAL DAMAGE,41.655413106,-87.602326461
890,2019-08,CRIMINAL DAMAGE,41.655413106,-87.602326461
899,2019-08,ASSAULT,41.655615702,-87.613993691
905,2019-08,OTHER OFFENSE,41.655616525999996,-87.61412541700001
931,2019-08,CRIMINAL DAMAGE,41.655802416,-87.604426164
933,2019-08,CRIMINAL TRESPASS,41.655802416,-87.604426164
943,2019-08,THEFT,41.655807747,-87.60396869
948,2019-08,BATTERY,41.655814187,-87.601527854
949,2019-08,CRIMINAL TRESPASS,41.655814926,-87.59606083
951,2019-08,CRIMINAL TRESPASS,41.655814926,-87.59606083
958,2019-08,MOTOR VEHICLE THEFT,41.655820179,-87.596024177
964,2019-08,CRIMINAL DAMAGE,41.655821115,-87.601322854
971,2019-08,NARCOTICS,41.655827919000004,-87.595947243
993,2019-08,ASSAULT,41.655956216999996,-87.59884030299999
998,2019-08,BATTERY,41.655967357,-87.59886579200001
1006,2019-08,ASSAULT,41.656019076999996,-87.610487226
1027,2019-08,BATTERY,41.656314878,-87.609521511
1040,2019-08,MOTOR VEHICLE THEFT,41.656412988,-87.55442162799999
1042,2019-08,ASSAULT,41.656413759,-87.609535041
1045,2019-08,CRIMINAL DAMAGE,41.656413759,-87.609535041
1074,2019-08,CRIMINAL DAMAGE,41.656484744000004,-87.605132044
1076,2019-08,THEFT,41.656489135,-87.607561806
1096,2019-08,BATTERY,41.65658079,-87.605130963
1101,2019-08,BATTERY,41.656604445,-87.614118085
1104,2019-08,THEFT,41.656607221,-87.539887991
1105,2019-08,THEFT,41.656607221,-87.539887991
1108,2019-08,CRIMINAL DAMAGE,41.65662744,-87.60513043700001
1112,2019-08,BATTERY,41.656653601,-87.60233438899999
1126,2019-08,THEFT,41.656673495999996,-87.547136365
1131,2019-08,ASSAULT,41.656683787,-87.60233404799999
1161,2019-08,CRIMINAL DAMAGE,41.656756064,-87.608546838
1179,2019-08,CRIMINAL DAMAGE,41.656816459,-87.608549821
1185,2019-08,BATTERY,41.656823738,-87.602332465
1186,2019-08,THEFT,41.656832201,-87.60756527299999
1199,2019-08,WEAPONS VIOLATION,41.656856935,-87.539884926
1202,2019-08,THEFT,41.656906037,-87.59759630200001
1204,2019-08,THEFT,41.656911096,-87.609631935
