,Date (Year/Month),Type of Crime,Latitude,Longitude,Neighborhood
0,2019-08,BATTERY,41.646958687,-87.543957902,Hegewisch
1,2019-08,MOTOR VEHICLE THEFT,41.646994686999996,-87.54400502700001,Hegewisch
2,2019-08,BATTERY,41.647038122,-87.615951454,Riverdale
3,2019-08,OTHER OFFENSE,41.648442733,-87.54586436299999,Chicago
4,2019-08,THEFT,41.649379004000004,-87.54592979799999,Hegewisch
5,2019-08,ROBBERY,41.649422909,-87.54592926299999,Hegewisch
6,2019-08,CRIMINAL DAMAGE,41.649476701,-87.535028596,Hegewisch
7,2019-08,BATTERY,41.649832040999996,-87.54716467200001,Hegewisch
8,2019-08,CRIMINAL DAMAGE,41.650910321,-87.545925786,Hegewisch
9,2019-08,BATTERY,41.651281034,-87.54716169,Hegewisch
10,2019-08,THEFT,41.651426666999996,-87.54839302299999,Hegewisch
11,2019-08,CRIMINAL TRESPASS,41.651431329,-87.527258234,Hegewisch
12,2019-08,OTHER OFFENSE,41.651431329,-87.527258234,Hegewisch
13,2019-08,OTHER OFFENSE,41.651431329,-87.527258234,Hegewisch
14,2019-08,ASSAULT,41.651431329,-87.527258234,Hegewisch
15,2019-08,BATTERY,41.651431329,-87.527258234,Hegewisch
16,2019-08,BATTERY,41.651431329,-87.527258234,Hegewisch
17,2019-08,BATTERY,41.65184294,-87.612356145,Eden Green
18,2019-08,BATTERY,41.651854054,-87.548687879,Hegewisch
19,2019-08,OTHER OFFENSE,41.651860571,-87.610793516,Golden Gate
20,2019-08,BATTERY,41.652216128,-87.618942045,Eden Green
21,2019-08,CRIMINAL DAMAGE,41.652371958,-87.617963338,Eden Green
22,2019-08,CRIMINAL DAMAGE,41.652461738,-87.61871978299999,Eden Green
23,2019-08,BATTERY,41.652576059,-87.610668428,Golden Gate
24,2019-08,BATTERY,41.652779831,-87.608598734,Golden Gate
25,2019-08,THEFT,41.652796032,-87.548383716,Hegewisch
26,2019-08,BATTERY,41.652966346999996,-87.61778112100002,Eden Green
27,2019-08,OFFENSE INVOLVING CHILDREN,41.652966346999996,-87.61778112100002,Eden Green
28,2019-08,THEFT,41.652982656999995,-87.548385109,Hegewisch
29,2019-08,DECEPTIVE PRACTICE,41.652987251999996,-87.53867001299999,Hegewisch
30,2019-08,BURGLARY,41.65304291,-87.54957360200001,Hegewisch
31,2019-08,ROBBERY,41.653050827,-87.543513949,Hegewisch
32,2019-08,CRIMINAL DAMAGE,41.653078323,-87.60242970200001,Altgeld Gardens
33,2019-08,CRIMINAL DAMAGE,41.653095165,-87.54838374299999,Hegewisch
34,2019-08,CRIMINAL DAMAGE,41.653095165,-87.54838374299999,Hegewisch
35,2019-08,THEFT,41.653188465,-87.54838261,Hegewisch
36,2019-08,BATTERY,41.653198076,-87.61401693200001,Eden Green
37,2019-08,THEFT,41.653425905,-87.60487376399998,Altgeld Gardens
38,2019-08,OTHER OFFENSE,41.653600988,-87.618333954,Eden Green
39,2019-08,BATTERY,41.653716501,-87.60742826799999,Golden Gate
40,2019-08,BATTERY,41.653736007,-87.59540758700001,Altgeld Gardens
41,2019-08,MOTOR VEHICLE THEFT,41.653789719,-87.59908081,Altgeld Gardens
42,2019-08,BATTERY,41.653791270999996,-87.59889417299999,Altgeld Gardens
43,2019-08,ASSAULT,41.653793753,-87.597565855,Altgeld Gardens
44,2019-08,BATTERY,41.653794365,-87.59723286100002,Altgeld Gardens
45,2019-08,THEFT,41.653794385,-87.597664647,Altgeld Gardens
46,2019-08,ASSAULT,41.654129358,-87.605015866,Chicago
47,2019-08,BATTERY,41.654448027,-87.606801643,Golden Gate
48,2019-08,THEFT,41.654527499000004,-87.547147827,Hegewisch
49,2019-08,BATTERY,41.65454047,-87.596748665,Altgeld Gardens
50,2019-08,CRIMINAL TRESPASS,41.654576797,-87.60590002200001,Golden Gate
51,2019-08,MOTOR VEHICLE THEFT,41.65464538,-87.616818451,Eden Green
52,2019-08,CRIMINAL DAMAGE,41.654661189,-87.59674363,Altgeld Gardens
53,2019-08,CRIMINAL DAMAGE,41.654682838,-87.613151465,Eden Green
54,2019-08,WEAPONS VIOLATION,41.65470253,-87.607556248,Golden Gate
55,2019-08,WEAPONS VIOLATION,41.654740948000004,-87.607555817,Golden Gate
56,2019-08,CRIMINAL DAMAGE,41.654766107,-87.54472250100002,Hegewisch
57,2019-08,DECEPTIVE PRACTICE,41.654823117,-87.59674544399998,Chicago
58,2019-08,BURGLARY,41.654832271,-87.55930016399998,Hegewisch
59,2019-08,BATTERY,41.654834273,-87.607558429,Golden Gate
60,2019-08,WEAPONS VIOLATION,41.654851673,-87.60510286899998,Altgeld Gardens
61,2019-08,THEFT,41.654902697,-87.596744537,Altgeld Gardens
62,2019-08,ASSAULT,41.654996938000004,-87.54837528899998,Hegewisch
63,2019-08,BATTERY,41.654998600000006,-87.602309192,Altgeld Gardens
64,2019-08,BATTERY,41.655005926,-87.613908994,Eden Green
65,2019-08,THEFT,41.655018749,-87.549560626,Hegewisch
66,2019-08,THEFT,41.655018749,-87.549560626,Hegewisch
67,2019-08,WEAPONS VIOLATION,41.655043856,-87.605115342,Altgeld Gardens
68,2019-08,THEFT,41.655052089,-87.605115249,Altgeld Gardens
69,2019-08,THEFT,41.655052089,-87.605115249,Altgeld Gardens
70,2019-08,THEFT,41.655052089,-87.605115249,Altgeld Gardens
71,2019-08,CRIMINAL DAMAGE,41.655131692,-87.605118011,Altgeld Gardens
72,2019-08,CRIMINAL TRESPASS,41.65515783,-87.602318369,Altgeld Gardens
73,2019-08,CRIMINAL DAMAGE,41.655222859,-87.594889293,Altgeld Gardens
74,2019-08,BATTERY,41.655240178,-87.60232109799999,Altgeld Gardens
75,2019-08,BATTERY,41.655240178,-87.60232109799999,Altgeld Gardens
